ID,Name,Link,UserName,Type,NumberTrack,Duration,DateCreate,Like,Repost,TrackIds
51,Indie,/wendyg33072/sets/indie,Wendyg33072,Indie/Pop/Alternative,433,57:48,2015-10-19T07:33:22.000Z,8,2,https://soundcloud.com/pepaknight/rahh;https://soundcloud.com/shalea/one-republic-apologize;https://soundcloud.com/indiecurrent/frends-average-camps;https://soundcloud.com/demiliv/chromatics-im-on-fire
52,INDIE,/kiiddeath/sets/indie,Kiiddeath,None,403,48:29,2021-09-24T22:01:33.000Z,0,0,https://soundcloud.com/dayglowmusic/run-the-world;https://soundcloud.com/dayglowmusic/nicknames;https://soundcloud.com/dayglowmusic/hot-rod;https://soundcloud.com/dayglowmusic/fair-game
53,INDIE,/sexybeast21/sets/indie,sexybeast21,None,307,25:00:51,2015-03-09T02:49:14.000Z,7,1,https://soundcloud.com/deadoceans/night-beds-me-liquor-and-god;https://soundcloud.com/cagetheelephant/cigarette-daydreams;https://soundcloud.com/fosterthepeoplemusic/houdini;https://soundcloud.com/crystalfighters/la-calling
54,indie,/ecallong/sets/indie,Ecallong,None,332,25:16:33,2017-05-08T04:30:40.000Z,1,1,https://soundcloud.com/chandra-irawan-alfianto/tigapagi-batu-tua;https://soundcloud.com/sgrdjajah/tigapagi-menari;https://soundcloud.com/hilman19/tigapagi-erika;https://soundcloud.com/tigapagi/tigapagi-alang-alang
55,Indie,/harvey-gore/sets/indie,Harvey Gore,None,469,36:19:26,2016-04-07T17:27:21.000Z,2,0,https://soundcloud.com/wingsuitsofficial/suitme;https://soundcloud.com/tough-love/jethro-fox-blinding-light;https://soundcloud.com/tony-hoffer/the-kooks-she-moves-in-her-own-way;https://soundcloud.com/tony-hoffer/thekooks-oohla
56,indie,/ng-b-o-257186049/sets/indie,đông Bảo,None,407,28:34:55,2019-07-04T11:49:20.000Z,1,0,https://soundcloud.com/khoavu/mot-ngay-nhu-hom-nay;https://soundcloud.com/kiimchairman/anh-se-om-em-den-het-mua-hoa-roi-kim-acoustic-live;https://soundcloud.com/hisam1207/originalcuoi-chieu;https://soundcloud.com/l-thu-trang-14995540/original-anh-thuong-em-nhat-ma-la-ft-log-ft-tib
57,indie,/jonathan-jimenez-914021322/sets/indie,Jonathan Jimenez,None,498,31:57:00,2017-08-05T00:57:41.000Z,3,0,https://soundcloud.com/thewaltersband/i-love-you-so-1;https://soundcloud.com/thewaltersband/the-walters-songs-for-dads-06;https://soundcloud.com/thewaltersband/the-walters-songs-for-dads-02;https://soundcloud.com/ginobc/beach-fossils-adversity
58,indie,/torrie-dawn/sets/indie,Torrie Dawn,Hip Hop,368,24:21:05,2014-07-17T03:22:23.000Z,7,1,https://soundcloud.com/purity-ring/lofticries;https://soundcloud.com/essential_music/listen;https://soundcloud.com/polygonpop/grammy-purity-ring;https://soundcloud.com/flume/lorde-tennis-court-flume-remix
59,Indie,/nawar-helios/sets/indie,Nawar Helios,None,227,15:50:39,2021-10-28T20:21:58.000Z,0,0,https://soundcloud.com/lyfsuxx/we-fell-in-love-in-buddyville;https://soundcloud.com/connor-gleason/mazzy-star-look-on-down-from-the-bridge-original;https://soundcloud.com/glassnotemusic/daughter-youth;https://soundcloud.com/m83/midnight-city
60,Indie,/michellejonker/sets/indie,michellejonker,Indie Rock,394,1:00:34,2014-11-19T08:37:13.000Z,12,2,https://soundcloud.com/nevado/close-talker-for-the-sun;https://soundcloud.com/jackandeliza/02-hold-the-line;https://soundcloud.com/rubblebucket/carousel-ride-1;https://soundcloud.com/jungledoctors/late
61,indie,/moralse/sets/indie,esenza,None,392,26:12:37,2016-11-27T06:05:19.000Z,4,1,https://soundcloud.com/ryanhemsworth/ribs-lets-have-a-sleepover;https://soundcloud.com/ryanhemsworth/every-square-inchwith-qrion;https://soundcloud.com/mattandkim/good-ol-fashioned-nightmare;https://soundcloud.com/mattandkim/daylight
62,indie,/user-557236805/sets/indie,micash0908,None,395,27:52:29,2016-05-17T12:44:28.000Z,2,1,https://soundcloud.com/triplecrownrecords/forest-whitaker-by-bad-books;https://soundcloud.com/adam-hannan-1/mother-mother-monkey-tree;https://soundcloud.com/polyvinyl-records/05-put-a-light-on;https://soundcloud.com/aditigoel/north-by-north-faded-paper
